Année;Type de secteur;Mission;Code Programme;Programme;Code Externe Objectif;Libellé Objectif;Ordre Ind;Code Externe Indicateur;Libellé Indicateur;Facteur de performance;Code Interne Sous Indicateur;Libellé Sous Indicateur;Cotation;Unité;Cible;Exécution;Atteinte de la cible;commentaire
2023.0;Programme;Travail et emploi;102.0;Accès et retour à l'emploi;P102-3;Mobiliser au mieux les outils d'insertion professionnelle au bénéfice des personnes les plus éloignées du marché du travail;6860.0;P102-3-1;Taux d'insertion dans l'emploi 6 mois après la sortie d'un contrat aidé;Citoyen;30530.0;Taux d'insertion dans l'emploi à l'issue d'un CAE ou d'un PEC (CUI non marchand) - volet jeune;;%;53.0;56.0;cible atteinte;
2023.0;Programme;Sécurités;152.0;Gendarmerie nationale;P152-2;Renforcer l'activité des services pour mieux combattre la délinquance;6180.0;P152-2-1;Taux d'élucidation ciblés;Citoyen;30749.0;Taux d'élucidation des crimes et délits d'atteintes à l'environnement;;%;;78.8;cible atteinte;
2022.0;Programme;Justice;107.0;Administration pénitentiaire;P107-1;Favoriser la réinsertion;4445.0;P107-1-6;Part des prévenus en attente de jugement sur l'ensemble de la population pénale;Citoyen;30044.0;Evolution du nombre d'ARSE/ARSEM;NS;%;70.0;17.6;cible atteinte;
2024.0;Programme;Pensions;742.0;Ouvriers des établissements industriels de l'État;P742-1;Maîtriser les coûts de la gestion administrative inclus dans la dépense totale;7730.0;P742-1-2;Dépenses de gestion pour 100€ de pension;Contribuable;6159.0;Ratio;;€;0.312;;donnée non renseignée;Non connu
2024.0;Programme;Écologie, développement et mobilité durables;203.0;Infrastructures et services de transports;P203-3;Améliorer la régulation dans les transports routiers et développer la part des modes alternatifs à la route;2460.0;P203-3-2;Part de marché des grands ports maritimes;Citoyen;12765.0;Trafic conteneurisé des ports français rapporté aux ports européens de référence;;%;7.0;7.1;cible atteinte;
2023.0;Programme;Investir pour la France de 2030;422.0;Valorisation de la recherche;P422-1;Faciliter l'appropriation de l'innovation;2100.0;P422-1-2;Capacité des Sociétés d'accélération du transfert de technologies (SATT) à générer leurs ressources propres et à accompagner les start-ups;Citoyen;25751.0;Fonds levés par les start-ups issues des SATT (en cumul depuis leur création);;M€;1690.0;;donnée non renseignée;
2024.0;Mission;Anciens combattants, mémoire et liens avec la Nation;;;MMB-2;Liquider les dossiers avec la meilleure efficacité et la meilleure qualité possibles;850.0;MMB-2-1;Délai moyen de traitement du flux des dossiers de pension militaire d'invalidité;Usager;25481.0;Délai moyen de traitement du flux de dossiers de pension militaire d'invalidité;;jours;225.0;240.0;absence amélioration;
2024.0;Mission;Sport, jeunesse et vie associative;;;MSF-2;Conforter le rang de la France parmi les grandes nations sportives et favoriser l'insertion professionnelle des sportifs de haut niveau;6640.0;MSF-2-1;Rang sportif de la France;Citoyen;3400.0;Apprécié à partir des résultats des finalistes aux Jeux olympiques : hiver + été;;rang;5.0;3.0;cible atteinte;
2024.0;Programme;Action extérieure de l'État;151.0;Français à l'étranger et affaires consulaires;P151-1;Renforcer la qualité et l'efficience du service consulaire;250.0;P151-1-1;Nombre de documents délivrés par ETPT;Contribuable;13297.0;2. Actes d'état civil : établissement et transcription (SCEC);;Nb;70.0;76.0;cible atteinte;
2023.0;Programme;Cohésion des territoires;135.0;Urbanisme, territoires et amélioration de l'habitat;P135-1;Satisfaire dans les meilleurs délais la demande de logements locatifs, en particulier dans les zones tendues et pour les demandeurs aux ressources les plus faibles;940.0;P135-1-1;Fluidité du parc de logements sociaux;Citoyen;1007.0;En zone A;;ratio;8.69;11.88;absence amélioration;
2023.0;Programme;Enseignement scolaire;139.0;Enseignement privé du premier et du second degrés;P139-1;Conduire tous les élèves à la maîtrise des connaissances et compétences du socle commun au terme de la scolarité primaire;3470.0;P139-1-1;"Proportion d'élèves maîtrisant, en fin de CE2, les principales composantes du domaine 1 ""les langages pour penser et communiquer"" du socle commun";Citoyen;16376.0;Comprendre, s'exprimer en utilisant la langue française à l'oral et à l'écrit (domaine 1);;%;95.0;86.9;absence amélioration;
2024.0;Mission;Sécurités;;;MSB-1;(P176.1/P152.1) Évaluer objectivement la prévention de la délinquance;5980.0;MSB-1-2;Evolution du nombre de crimes et délits en matière d'atteintes aux biens (AAB) constatés;Citoyen;24065.0;Nombre de cambriolages de résidences (principales et secondaires);;Nb;;;absence amélioration;
2023.0;Mission;Publications officielles et information administrative;;;MXJ-1;Améliorer l'accès à l'information légale et administrative et l'offre de services aux usagers;8370.0;MXJ-1-3;Transparence du débat public;Citoyen;30448.0;"Nombre de visites sur le catalogue en ligne des éditions de la marque ""La Documentation française""";;Nb;680000.0;577323.0;absence amélioration;
2024.0;Programme;Immigration, asile et intégration;303.0;Immigration et asile;P303-2;Réduire les délais de traitement de la demande d'asile;4060.0;P303-2-1;Délai de l'examen d'une demande d'asile par l'OFPRA;Usager;13105.0;Nombre de décisions rendues dans l'année par équivalent temps plein d'agent instructeur;;Dossiers;;346.0;absence amélioration;
2022.0;Programme;Travail et emploi;102.0;Accès et retour à l'emploi;P102-3;Mobiliser au mieux les outils d'insertion professionnelle au bénéfice des personnes les plus éloignées du marché du travail;6870.0;P102-3-2;Taux d'insertion dans l'emploi à la sortie des structures d'insertion par l'activité économique;Citoyen;16589.0;Taux d’insertion dans l’emploi à la sortie d’une association intermédiaire (AI);NS;%;52.0;45.8;absence amélioration;
2022.0;Mission;Recherche et enseignement supérieur;;;MRA-4;Améliorer la part de la R&D des entreprises françaises dans l'effort national de recherche;4970.0;MRA-4-1;Effort de la recherche de la France;Citoyen;24573.0;Part des dépenses intérieures en R&D des entreprises (DIRDE) dans la dépense intérieure de R&D (DIRD);NS;%;65.8;;donnée non renseignée;
2023.0;Mission;Recherche et enseignement supérieur;;;MRA-4;Améliorer la part de la R&D des entreprises françaises dans l'effort national de recherche;4970.0;MRA-4-1;Effort de la recherche de la France;Citoyen;24572.0;Part de la dépense intérieure de R&D (DIRD) dans le produit intérieur brut (PIB);;%;2.3;;donnée non renseignée;
2023.0;Programme;Cohésion des territoires;109.0;Aide à l'accès au logement;P109-1;Aider les ménages modestes à faire face à leurs dépenses de logement;930.0;P109-1-1;Taux d'effort net médian des ménages en locatif ordinaire ou en accession selon la configuration familiale et le type de parc;Citoyen;25067.0;Couples avec 3 enfants ou plus;;%;12.4;12.4;cible atteinte;
2023.0;Programme;Contrôle et exploitation aériens;613.0;Soutien aux prestations de l'aviation civile;P613-3;S'assurer du recouvrement optimum des recettes du budget annexe;7220.0;P613-3-1;Taux de recouvrement des recettes du budget annexe;Contribuable;6481.0;Taux de recouvrement de la TAC;;%;99.0;98.87;amélioration;
2022.0;Mission;Enseignement scolaire;;;MEC-1;Conduire tous les élèves à l'acquisition des connaissances et compétences attendues à l'entrée de 6ème.;100.0;MEC-1-1;Proportion d’élèves ayant une maîtrise satisfaisante ou très bonne des connaissances et des compétences en français à l’entrée en 6ème;Citoyen;30652.0;Pour information : Proportion d'élèves ayant une maîtrise satisfaisante ou très bonne des connaissances et des compétences en français à l’entrée en sixième - enseignement privé sous contrat;NS;%;;83.9;donnée non renseignée;
2023.0;Mission;Solidarité, insertion et égalité des chances;;;MSE-2;Garantir aux adultes vulnérables une protection juridique adaptée à leurs besoins;6420.0;MSE-2-1;Coût moyen des mesures de protection exercées par les services tutélaires;Contribuable;17501.0;Part des services mandataires dont la valeur du point service est inférieure de 10% à la moyenne nationale;;%;7.0;6.0;cible atteinte;
2022.0;Programme;Avances à l'audiovisuel public;843.0;Radio France;P843-2;S'adresser au public le plus large dans un environnement numérique;7860.0;P843-2-1;Audience des antennes de Radio France;Citoyen;19969.0;Audience nationale cumulée sur un jour moyen;NS;;0.0;27.6;donnée non renseignée;
