Mission;Programme;Titre;LFI;LFR;Report_N-1;Mvts_reglementaires;FDC_et_ADP;Fongibilite_asymetrique;Total_CP_Ouverts;Depenses_constatees;Modif_Ouvertures;Modif_Annulations;Report_N+1
Recherche et enseignement supérieur;Formations supérieures et recherche universitaire - 150;Autres titres - Autres dépenses;14748960450;-131344743;82253233;-19507104;14914256,54;0;14695276092,54;14683427774,18;0;5410202,36;6438116
Recherche et enseignement supérieur;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables - 190;Autres titres - Autres dépenses;1948483219;-62970000;16193522;150273720;0;0;2051980461;2039156602,01;0;9023858,99;3800000
Recherche et enseignement supérieur;Recherche duale (civile et militaire) - 191;Autres titres - Autres dépenses;150019167;0;0;0;0;0;150019167;150019167;0;0;0
Recherche et enseignement supérieur;Recherche et enseignement supérieur en matière économique et industrielle - 192;Autres titres - Autres dépenses;688636541;-39718002;53160074;9334726;0;0;711413339;669666276,98;0;979524,02;40767538
Recherche et enseignement supérieur;Recherche spatiale - 193;Autres titres - Autres dépenses;1900179541;-292900000;0;0;0;0;1607279541;1607279541;0;0;0
Recherche et enseignement supérieur;Recherches scientifiques et technologiques pluridisciplinaires - 172;Autres titres - Autres dépenses;8201401634;-501018733;21792432;22237019;439204,16;0;7744851556,16;7736700386,23;0;7889117,93;262052
Recherche et enseignement supérieur;Vie étudiante - 231;Autres titres - Autres dépenses;3326639077;-68808077;16980944;-19202056;138121,39;0;3255748009,39;3254246060,17;0;1501949,22;0
Régimes sociaux et de retraite;Régimes de retraite des mines, de la SEITA et divers - 195;Autres titres - Autres dépenses;1075655467;0;0;7342540;0;0;1082998007;1082998006,28;0;0,72;0
Régimes sociaux et de retraite;Régimes de retraite et de sécurité sociale des marins - 197;Autres titres - Autres dépenses;787337160;-12851037;0;0;0;0;774486123;774486123;0;0;0
Régimes sociaux et de retraite;Régimes sociaux et de retraite des transports terrestres - 198;Autres titres - Autres dépenses;4365695818;-150145805;0;-7342540;0;0;4208207473;4206133513,56;0;2073959,44;0
Relations avec les collectivités territoriales;Concours financiers aux collectivités territoriales et à leurs groupements - 119;Autres titres - Autres dépenses;3711788506;-6707208;15912893;54246;0;0;3721048437;3638023724,54;0;64817204,46;18207508
Relations avec les collectivités territoriales;Concours spécifiques et administration - 122;Autres titres - Autres dépenses;249601155;-83039423;235310364;3136550;11724364,15;0;416733010,15;256649087,13;0;36504872,02;123579051
Remboursements et dégrèvements;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs) - 200;Titre 2 - Dépenses de personnel;0;0;0;0;0;0;0;1690;1690;0;0
Remboursements et dégrèvements;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs) - 200;Autres titres - Autres dépenses;136189146022;6926584017;0;0;0;0;143115730039;141568328890,19;0;1547401148,81;0
Remboursements et dégrèvements;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs) - 201;Autres titres - Autres dépenses;4291000000;766824992;0;0;0;0;5057824992;4955165409,84;0;102659582,16;0
Santé;Compensation à la Sécurité sociale du coût des dons de vaccins à des pays tiers et reversement des recettes de la Facilité pour la relance et la résilience (FRR) européenne au titre du volet «Ségur investissement» du plan national de relance et de résili - 379;Autres titres - Autres dépenses;1248900000;0;0;0;0;0;1248900000;1248900000;0;0;0
Santé;Prévention, sécurité sanitaire et offre de soins - 204;Titre 2 - Dépenses de personnel;1300000;-123500;0;0;0;0;1176500;1176500;0;0;0
Santé;Prévention, sécurité sanitaire et offre de soins - 204;Autres titres - Autres dépenses;269281268;-5840177;94573907;-898507;130479441,41;0;487595932,41;385954596,01;0;16398408,4;85242928
Santé;Protection maladie - 183;Autres titres - Autres dépenses;1216300000;-50000000;440000;0;0;0;1166740000;1166740000;0;0;0
Sécurités;Gendarmerie nationale - 152;Titre 2 - Dépenses de personnel;8906783640;48808511;0;-20189830;154950631,75;-4000000;9086352952,75;9082977530,06;0;3375422,69;0
Sécurités;Gendarmerie nationale - 152;Autres titres - Autres dépenses;1486194305;294998809;40573847;-8363377;109493260,03;4000000;1926896844,03;1926889257,73;0;7586,3;0
Sécurités;Police nationale - 176;Titre 2 - Dépenses de personnel;11205346827;355986507;0;1794237;8111740,58;-34536803;11536702508,58;11528797142,6;0;828991,98;7076374
Sécurités;Police nationale - 176;Autres titres - Autres dépenses;1727378298;-46856512;71683441;34990874;103747698,71;34536803;1925480602,71;1914442984,51;0;152863,2;10884755
Sécurités;Sécurité civile - 161;Titre 2 - Dépenses de personnel;231060710;-7800412;0;-207191;1097053,68;-6616635;217533525,68;216062291,94;0;374180,74;1097053
