Mission;Programme;Titre;Categorie;Depenses
Transformation et fonction publiques;Conduite et pilotage de la transformation et de la fonction publiques - 368;Titre 2;21;32160355,82
Transformation et fonction publiques;Conduite et pilotage de la transformation et de la fonction publiques - 368;Titre 2;22;14219932,95
Transformation et fonction publiques;Conduite et pilotage de la transformation et de la fonction publiques - 368;Titre 2;23;544425,97
Transformation et fonction publiques;Fonction publique - 148;Titre 2;21;121575,16
Transformation et fonction publiques;Fonction publique - 148;Titre 2;22;522,57
Transformation et fonction publiques;Fonction publique - 148;Titre 2;23;4000
Transformation et fonction publiques;Fonction publique - 148;Titre 3;31;148710726,05
Transformation et fonction publiques;Fonction publique - 148;Titre 3;32;57142838
Transformation et fonction publiques;Fonction publique - 148;Titre 5;51;6838848,19
Transformation et fonction publiques;Fonction publique - 148;Titre 5;52;326195,45
Transformation et fonction publiques;Fonction publique - 148;Titre 6;61;17934463,35
Transformation et fonction publiques;Fonction publique - 148;Titre 6;63;2146239,05
Transformation et fonction publiques;Fonction publique - 148;Titre 6;64;31860932,81
Transformation et fonction publiques;Innovation et transformation numériques - 352;Titre 3;31;22036215,72
Transformation et fonction publiques;Innovation et transformation numériques - 352;Titre 3;32;6213400
Transformation et fonction publiques;Innovation et transformation numériques - 352;Titre 5;52;332380,68
Transformation et fonction publiques;Innovation et transformation numériques - 352;Titre 5;53;1865000
Transformation et fonction publiques;Innovation et transformation numériques - 352;Titre 6;62;247000
Transformation et fonction publiques;Innovation et transformation numériques - 352;Titre 6;64;1398604,5
Transformation et fonction publiques;Performance et résilience des bâtiments de l'État et de ses opérateurs - 348;Titre 3;31;68083172,4
Transformation et fonction publiques;Performance et résilience des bâtiments de l'État et de ses opérateurs - 348;Titre 3;32;742500
Transformation et fonction publiques;Performance et résilience des bâtiments de l'État et de ses opérateurs - 348;Titre 5;51;250483421,71
Transformation et fonction publiques;Performance et résilience des bâtiments de l'État et de ses opérateurs - 348;Titre 5;52;288161,64
Transformation et fonction publiques;Performance et résilience des bâtiments de l'État et de ses opérateurs - 348;Titre 5;53;63060120,81
Transformation et fonction publiques;Performance et résilience des bâtiments de l'État et de ses opérateurs - 348;Titre 6;64;1350050
Transformation et fonction publiques;Performance et résilience des bâtiments de l'État et de ses opérateurs - 348;Titre 7;72;14894238,61
Transformation et fonction publiques;Transformation publique - 349;Titre 3;31;93214889,04
Transformation et fonction publiques;Transformation publique - 349;Titre 3;32;5804504
Transformation et fonction publiques;Transformation publique - 349;Titre 5;51;32399175,36
Transformation et fonction publiques;Transformation publique - 349;Titre 5;52;14953255,64
Transformation et fonction publiques;Transformation publique - 349;Titre 5;53;5964607,8
Transformation et fonction publiques;Transformation publique - 349;Titre 6;62;78000
Transformation et fonction publiques;Transformation publique - 349;Titre 6;63;1834569,6
Transformation et fonction publiques;Transformation publique - 349;Titre 6;64;16167397,93
Transformation et fonction publiques;Transformation publique - 349;Titre 7;72;221899,84
Travail et emploi;Accès et retour à l'emploi - 102;Titre 3;31;1298015,14
Travail et emploi;Accès et retour à l'emploi - 102;Titre 3;32;1445063363,58
Travail et emploi;Accès et retour à l'emploi - 102;Titre 5;53;24646072
Travail et emploi;Accès et retour à l'emploi - 102;Titre 6;61;2554818900,98
Travail et emploi;Accès et retour à l'emploi - 102;Titre 6;62;942991416,86
Travail et emploi;Accès et retour à l'emploi - 102;Titre 6;63;91299922,16
Travail et emploi;Accès et retour à l'emploi - 102;Titre 6;64;1980976712,46
Travail et emploi;Accès et retour à l'emploi - 102;Titre 7;72;8265633
Travail et emploi;Accompagnement des mutations économiques et développement de l'emploi - 103;Titre 3;31;18794837,73
Travail et emploi;Accompagnement des mutations économiques et développement de l'emploi - 103;Titre 3;32;1770282882,75
Travail et emploi;Accompagnement des mutations économiques et développement de l'emploi - 103;Titre 5;52;28615,98
Travail et emploi;Accompagnement des mutations économiques et développement de l'emploi - 103;Titre 5;53;2962227,78
Travail et emploi;Accompagnement des mutations économiques et développement de l'emploi - 103;Titre 6;61;1150876600,34
Travail et emploi;Accompagnement des mutations économiques et développement de l'emploi - 103;Titre 6;62;8987616207,58
Travail et emploi;Accompagnement des mutations économiques et développement de l'emploi - 103;Titre 6;63;907405498,25
Travail et emploi;Accompagnement des mutations économiques et développement de l'emploi - 103;Titre 6;64;728758698,69
Travail et emploi;Accompagnement des mutations économiques et développement de l'emploi - 103;Titre 7;72;2795000
Travail et emploi;Amélioration de la qualité de l'emploi et des relations du travail - 111;Titre 3;31;24338012,12
Travail et emploi;Amélioration de la qualité de l'emploi et des relations du travail - 111;Titre 3;32;22815466,58
Travail et emploi;Amélioration de la qualité de l'emploi et des relations du travail - 111;Titre 6;61;391725,36
Travail et emploi;Amélioration de la qualité de l'emploi et des relations du travail - 111;Titre 6;62;896708,43
Travail et emploi;Amélioration de la qualité de l'emploi et des relations du travail - 111;Titre 6;63;10500
Travail et emploi;Amélioration de la qualité de l'emploi et des relations du travail - 111;Titre 6;64;50062978,99
Travail et emploi;Conception, gestion et évaluation des politiques de l'emploi et du travail - 155;Titre 2;21;377709941,78
Travail et emploi;Conception, gestion et évaluation des politiques de l'emploi et du travail - 155;Titre 2;22;222620155,78
Travail et emploi;Conception, gestion et évaluation des politiques de l'emploi et du travail - 155;Titre 2;23;6844901,21
Travail et emploi;Conception, gestion et évaluation des politiques de l'emploi et du travail - 155;Titre 3;31;90574745,84
Travail et emploi;Conception, gestion et évaluation des politiques de l'emploi et du travail - 155;Titre 3;32;15360412,82
Travail et emploi;Conception, gestion et évaluation des politiques de l'emploi et du travail - 155;Titre 6;62;145666,01
Travail et emploi;Conception, gestion et évaluation des politiques de l'emploi et du travail - 155;Titre 6;64;1441351,63
