Numero_de_depense_fiscale;Libelle_de_la_depense_fiscale;Impot;Mission_principale;Numero_de_programme_principal;Libelle_de_programme_principal;Mission_subsidiaire_n°1;Numero_de_programme_subsidiaire_n°1;Libelle_de_programme_subsidiaire_n°1;Mission_subsidiaire_n°2;Numero_de_programme_subsidiaire_n°2;Libelle_de_programme_subsidiaire_n°2;Montant_N-1_definitif_(millions);Montant_N_initial_(millions);Montant_N_actualise_(millions)
150406;Exonération temporaire des plus-values de cession d'un droit de surélévation réalisées par les particuliers en vue de la réalisation par le cessionnaire de locaux destinés à l'habitation;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
150515;Abattement fixe applicable aux cessions de titres ou droits par les dirigeants de PME partant à la retraite;Impôt sur le revenu;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;86;80;96
150518;Abattement majoré appliqué aux plus-values sur cessions de titres acquis moins de dix ans après la création d'une PME;Impôt sur le revenu;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;220;nc;215
150701;Exonération des gains réalisés lors des cessions à titre onéreux de titres acquis dans le cadre des dispositifs d'épargne salariale (participation, plan d'épargne salariale, y compris actionnariat salarié, et compartiment épargne salariale des plans d'épargne retraite);Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;108;nc;98
150704;Exonération des gains retirés d'opérations de bourse effectuées par les clubs d'investissement durant leur existence. Création d'un régime simplifié d'imposition;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
150705;Exonération conditionnelle des gains réalisés par les fonds communs de placement dans le cadre de leur gestion;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
150706;Exonération des plus-values réalisées à l'occasion de la cession ou du rachat de parts de fonds communs de placement à risques sous certaines conditions;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
150707;Exonération des gains de cessions de valeurs mobilières et des profits réalisés par les non-résidents sur les marchés à terme d’instruments financiers et d’options négociables, sur les bons d’option et sur les parts de fonds communs d’intervention sur les marchés à terme d’instruments financiers;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
150708;Exonération des gains de cession de valeurs mobilières réalisés dans le cadre d'un plan d'épargne en actions;Impôt sur le revenu;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;144;nc;nc
150710;Exonération, sous certaines conditions, des gains nets réalisés lors des cessions à titre onéreux de titres de sociétés de capital-risque (SCR);Impôt sur le revenu;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
150712;Exonération temporaire à hauteur de 50 % des gains nets de cession de valeurs mobilières et de droits sociaux détenus à l'étranger par des personnes physiques impatriées;Impôt sur le revenu;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;4;3;3
150713;Mécanisme de report d'imposition optionnel de la plus-value de cession à titre onéreux des titres d'organismes de placements collectifs "monétaires" en cas de versement du prix dans un PEA-PME;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;-;-
150714;Exonération d’impôt sur le revenu des gains de cession de valeurs mobilières réalisés dans le cadre d’un plan d’épargne avenir climat (PEAC);Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;création;N/A
160103;Imputation sur le revenu global du déficit provenant des frais de prise de brevet et de maintenance;Impôt sur le revenu;Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
160201;Exonération des sommes perçues dans le cadre de l'attribution du prix Nobel ou de récompenses internationales de niveau équivalent au prix Nobel dans les domaines littéraire, artistique ou scientifique;Impôt sur le revenu;Culture;131;Création;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
160204;Exonération d'impôt sur le revenu, à hauteur de 60 jours par an, de la rémunération perçue au titre de la permanence des soins par les médecins ou leurs remplaçants installés dans certaines zones rurales ou urbaines;Impôt sur le revenu;Santé;204;Prévention, sécurité sanitaire et offre de soins;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;32;28;32
160205;Exonération, dans la limite de 14,5 % d'un plafond révisable chaque année, des sommes perçues par les arbitres et juges sportifs;Impôt sur le revenu;Sport, jeunesse et vie associative;219;Sport;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;7;7;7
160207;Exonération des sommes perçues à titre de dédommagement par les aidants familiaux dans le cadre de la prestation de compensation handicap;Impôt sur le revenu;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;55;50;55
160301;Déduction forfaitaire au titre du groupe III déclarée par les médecins conventionnés;Impôt sur le revenu;Santé;204;Prévention, sécurité sanitaire et offre de soins;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;27;15;71
160302;Déduction forfaitaire de 3 % déclarée par les médecins conventionnés;Impôt sur le revenu;Santé;204;Prévention, sécurité sanitaire et offre de soins;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;7;6;23
160303;Déduction des dépenses exposées par les sportifs en vue de l'obtention d'un diplôme ou d'une qualification pour leur insertion ou conversion professionnelle;Impôt sur le revenu;Sport, jeunesse et vie associative;219;Sport;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
160406;Abattement de 50 % sur le bénéfice imposable des jeunes artistes de la création plastique;Impôt sur le revenu;Culture;131;Création;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;1;1
170106;Déduction de précaution;Impôt sur le revenu;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;207;nc;169
170107;Déduction fiscale pour valorisation du cheptel;Impôt sur le revenu;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;création;90
170108;Provision pour augmentation de la valeur des stocks de vaches laitières et allaitantes;Impôt sur le revenu;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;création;-
170201;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;Impôt sur le revenu;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;72;66;68
170306;Rattachement du revenu exceptionnel d'un exploitant agricole soumis à un régime réel d'imposition par fractions égales, aux résultats de l'exercice de sa réalisation et des six exercices suivants;Impôt sur le revenu;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;15;nc;nc
170307;Report d'imposition de l'indemnité destinée à couvrir les dommages causés aux récoltes par des évènements climatiques à l'exercice de constatation de cette perte;Impôt sur le revenu;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;1;ε
180102;Exonération accordée sous certaines conditions, aux personnes louant ou sous-louant en meublé, une partie de leur habitation principale jusqu'au 31 décembre 2026;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
180105;Exonération des produits de la vente d'électricité issue de l'énergie radiative du soleil;Impôt sur le revenu;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;5;2;5
180309;Imputation sur le revenu global des déficits commerciaux supportés par les loueurs en meublé qui réalisent un montant de recettes annuelles excédant 23 000 € et le montant de leurs autres revenus d'activité;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;4;4;4
180310;Régime micro-BIC - Abattement supplémentaire de 21% pour les activités de locations meublées touristiques classées, lorsque celles-ci sont situées dans des zones ne se caractérisant pas par un déséquilibre important entre l’offre et la demande de logements et lorsque le chiffre d’affaires tiré de l’activité de location meublée est inférieur à 15 000 €;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;création;nc
190208;Exonération des plus-values professionnelles en cas de cession à titre onéreux d'une entreprise individuelle ou d'une activité par une société de personnes ou en cas de cessation d'un office d'avoué dans le cadre du départ à la retraite du cédant ou de l'associé de la société cédante;Impôt sur le revenu;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;110;109;110
190212;Exonérations des indemnités journalières de sécurité sociale servies au titre des maladies "longues et coûteuses";Impôt sur le revenu;Santé;204;Prévention, sécurité sanitaire et offre de soins;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;39;38;39
200217;Amortissement exceptionnel des bâtiments d'élevage et des matériels et installations destinés au stockage des effluents d'élevage égal à 40% du prix de revient des biens réparti linéairement sur cinq ans;Impôt sur le revenu et impôt sur les sociétés;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;4;-;-
200302;Crédit d'impôt en faveur de la recherche;Impôt sur le revenu et impôt sur les sociétés;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;7251;7651;7858
200307;Application du taux réduit d'imposition aux répartitions d'actifs effectuées par des fonds communs de placement à risques (FCPR) dont le portefeuille est composé de manière prépondérante de titres de sociétés non cotées;Impôt sur le revenu et impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
200310;Crédit d'impôt en faveur de l'innovation;Impôt sur le revenu et impôt sur les sociétés;Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;320;332;332
200311;Crédit d’impôt en faveur de la recherche collaborative;Impôt sur le revenu et impôt sur les sociétés;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;10;146;10
200401;Déduction exceptionnelle de 40% du prix de revient de certains biens limitativement énumérés, pratiquée sur la durée normale d'utilisation du bien;Impôt sur le revenu et impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;349;300;300
200402;Déduction exceptionnelle en faveur des acquisitions de véhicules de 3,5 tonnes et plus fonctionnant exclusivement au gaz naturel, ou au biométhane, ou au carburant ED95, ou au B100, ou au dual fuel de type 1 A;Impôt sur le revenu et impôt sur les sociétés;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;7;7;9
200403;Déduction exceptionnelle de 40% en faveur des entreprises investissant dans des équipements de réfrigération et de traitement de l’air utilisant des fluides autres que les hydrofluorocarbures (HFC);Impôt sur le revenu et impôt sur les sociétés;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;5;5;6
210203;Déduction sur cinq ans du prix d’acquisition des œuvres originales d’artistes vivants et d’instruments de musique;Impôt sur le revenu et impôt sur les sociétés;Culture;131;Création;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;4;5;5
210305;Crédit d'impôt pour investissement en Corse;Impôt sur le revenu et impôt sur les sociétés;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;80;105;84
210307;Exonération des dons reçus par une entreprise ayant subi un sinistre survenu à la suite d'une catastrophe naturelle ou d'un événement ayant des conséquences dommageables;Impôt sur le revenu et impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;nc;ε
210308;Crédit d'impôt famille;Impôt sur le revenu et impôt sur les sociétés;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;Sans objet;Sans objet;Sans objet;185;195;202
210309;Réduction d'impôt au titre des dons faits par les entreprises à des oeuvres ou organismes d'intérêt général;Impôt sur le revenu et impôt sur les sociétés;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;Sans objet;Sans objet;Sans objet;1458;1507;1727
210313;Crédits d'impôt "Prêt à taux zéro" et "Prêt à taux zéro renforcé PTZ+";Impôt sur le revenu et impôt sur les sociétés;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;703;756;593
210315;Crédit d'impôt au titre des dépenses engagées pour la formation du chef d'entreprise;Impôt sur le revenu et impôt sur les sociétés;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;81;79;98
210316;Crédit d'impôt en faveur des entreprises agricoles utilisant le mode de production biologique;Impôt sur le revenu et impôt sur les sociétés;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;105;161;142
210318;Crédit d'impôt en faveur des métiers d'art;Impôt sur le revenu et impôt sur les sociétés;Culture;131;Création;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;54;59;62
210321;Crédit d'impôt "Eco prêt à taux zéro";Impôt sur le revenu et impôt sur les sociétés;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;45;119;102
210322;Abattement applicable aux bénéfices des entreprises provenant d'exploitations situées dans les départements d'outre-mer;Impôt sur le revenu et impôt sur les sociétés;Outre-mer;138;Emploi outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;106;94;110
210324;Crédit d'impôt en faveur de la compétitivité et de l'emploi;Impôt sur le revenu et impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1012;309;120
210325;Crédit d'impôt à raison des investissements productifs réalisés dans les départements d'outre-mer;Impôt sur le revenu et impôt sur les sociétés;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;327;nc;323
210326;Taxation au taux de 10% des revenus issus de certains actifs de propriété industrielle;Impôt sur le revenu et impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1045;nc;1208
210327;Exonération des aides reçues par les lauréats du concours "French Tech Tremplin";Impôt sur le revenu et impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;N/A;N/A
210328;Crédit d’impôt au titre des dépenses engagées par les PME pour la rénovation énergétique de leurs bâtiments à usage tertiaire;Impôt sur le revenu et impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;5;5
210329;Crédit d’impôt en faveur des entreprises agricoles qui n’utilisent pas de produits phytopharmaceutiques contenant la substance active du glyphosate au cours des années 2021 à 2023;Impôt sur le revenu et impôt sur les sociétés;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;135;139;175
210330;Crédit d’impôt en faveur des entreprises agricoles disposant d’une certification d’exploitation à haute valeur environnementale en cours de validité au 31 décembre 2021 ou délivrée au cours de l’une des années 2022, 2023 ou 2024;Impôt sur le revenu et impôt sur les sociétés;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;42;42;18
210331;Réduction d’impôt « Prêt à taux zéro » pour l’acquisition de véhicules légers peu polluants;Impôt sur le revenu et impôt sur les sociétés;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;13;ε
210332;Faculté temporaire de déduction fiscale de l’amortissement du fonds commercial;Impôt sur le revenu et impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;7;nc;9
210333;Crédit d'impôt au titre des investissements dans l'industrie verte (C3IV);Impôt sur le revenu et impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;N/A;N/A
210334;Crédit d'impôt au titre des prêts avance mutation ne portant pas intérêt;Impôt sur le revenu et impôt sur les sociétés;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;création;N/A
220102;Exonération du bénéfice réalisé par les entreprises qui exercent une activité dans une zone urbaine de 3e génération ou qui créent une activité dans une zone franche urbaine-territoire entrepreneur (ZFU-TE) entre le 1er janvier 2006 et le 31 décembre 2024;Impôt sur le revenu et impôt sur les sociétés;Cohésion des territoires;147;Politique de la ville;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;120;118;102
220104;Exonération d’impôt sur les bénéfices pour les entreprises créées ou reprises dans les ZRR;Impôt sur le revenu et impôt sur les sociétés;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;350;335;354
220107;Exonération des aides versées par le fonds de solidarité institué par l'ordonnance n° 2020-317 du 25 mars 2020, d’impôt sur le revenu, d’impôt sur les sociétés et de toutes les contributions et cotisations sociales d'origine légale ou conventionnelle;Impôt sur le revenu et impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;5;-;-
220108;Exonération de l’aide aux entreprises particulièrement touchées par les conséquences économiques résultant de la situation hydrique de Mayotte;Impôt sur le revenu et impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;création;ε
220109;Exonération d’impôt sur les bénéfices pour les entreprises créées ou reprises dans les zones France Ruralités Revitalisation (FRR);Impôt sur le revenu et impôt sur les sociétés;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;création;-
230101;Déduction des versements à fonds perdus effectués en faveur de certains organismes de construction;Impôt sur le revenu et impôt sur les sociétés;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
230102;Déduction exceptionnelle en faveur de l’investissement des PME dans la robotique et la digitalisation industrielles;Impôt sur le revenu et impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;5;6;4
230103;Déduction exceptionnelle en faveur des navires, bateaux ou équipements répondant à des enjeux écologiques;Impôt sur le revenu et impôt sur les sociétés;Écologie, développement et mobilité durables;205;Affaires maritimes, pêche et aquaculture;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
230104;Déduction exceptionnelle en faveur des simulateurs d'apprentissage de la conduite;Impôt sur le revenu et impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
230105;Déduction exceptionnelle en faveur de l’investissement des entreprises utilisatrices d’engins fonctionnant au GNR dans l’acquisition de matériels fonctionnant avec des carburants alternatifs;Impôt sur le revenu et impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;3;2;4
230106;Déduction exceptionnelle en faveur de l’investissement des PME de commerce de détail de gazole non routier dans des installations de stockage, matériels de manutention et de distribution de gazole;Impôt sur le revenu et impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
230303;Majoration de la base de calcul des amortissements des immobilisations acquises au moyen de primes de développement régional, de développement artisanal ou d'aménagement du territoire;Impôt sur le revenu et impôt sur les sociétés;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;1;1
230403;Déduction spéciale prévue en faveur des entreprises de presse;Impôt sur le revenu et impôt sur les sociétés;Médias, livre et industries culturelles;180;Presse et médias;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;N/A;nc;N/A
230409;Provision pour investissement des sommes excédant l'obligation légale de la participation et portées à la réserve spéciale de participation;Impôt sur le revenu et impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;4;4;4
230410;Provision pour charges exceptionnelles ou pour risques afférents aux opérations d'assurance crédit des entreprises d'assurance et de réassurance (dont provisions pour égalisation et provisions des captives de réassurance);Impôt sur le revenu et impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;15;nc
230411;Provision pour risque d’intervention du fonds de garantie des dépôts et de résolution;Impôt sur le revenu et impôt sur les sociétés;Économie;305;Stratégies économiques;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;46;nc;60
230510;Exonération des plus-values de cession de bateaux affectés au transport fluvial de marchandises;Impôt sur le revenu et impôt sur les sociétés;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
230601;Application du taux réduit d'imposition aux distributions d'actifs effectués, directement ou indirectement, par certaines sociétés de capital-risque;Impôt sur le revenu et impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
230602;Exonération totale ou partielle des bénéfices réalisés par les entreprises nouvelles qui se créent dans les zones d’aide à finalité régionale (ZAFR) ou qui sont créées entre le 1er janvier 1995 et le 31 décembre 2010 dans les zones de revitalisation rurale (ZRR) et de redynamisation urbaine (ZRU);Impôt sur le revenu et impôt sur les sociétés;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;66;67;56
230604;Exonération totale ou partielle des bénéfices réalisés par les jeunes entreprises innovantes et les jeunes entreprises universitaires (existantes au 1er janvier 2004 ou créées entre le 1er janvier 2004 et le 31 décembre 2023);Impôt sur le revenu et impôt sur les sociétés;Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;12;12;10
230605;Exonération du bénéfice réalisé par les entreprises créées en zones de restructuration de la défense (ZRD);Impôt sur le revenu et impôt sur les sociétés;Défense;212;Soutien de la politique de la défense;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;2;2
230606;Exonération d’impôt sur les bénéfices pour les entreprises qui exercent ou créent une activité dans les bassins d’emploi à redynamiser (BER);Impôt sur le revenu et impôt sur les sociétés;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;5;5;5
230607;Exonération des bénéfices réalisés en France et des revenus de source française perçus par des organismes chargés de l'organisation en France d'une compétition sportive internationale et de leurs filiales, directement liés à l'organisation de la compétition sportive internationale.;Impôt sur le revenu et impôt sur les sociétés;Sport, jeunesse et vie associative;219;Sport;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;18;nc;2
230608;Exonération d’impôt sur les bénéfices pour les entreprises créées dans les bassins urbains à dynamiser (BUD);Impôt sur le revenu et impôt sur les sociétés;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;2;3
230609;Exonération d’impôt sur les bénéfices pour les entreprises créées dans les zones de développement prioritaire (ZDP);Impôt sur le revenu et impôt sur les sociétés;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;1;1
300101;Exonération sous certaines conditions : - des coopératives agricoles et de leurs unions , - des coopératives artisanales et de leurs unions , - des coopératives d'entreprises de transport , - des coopératives artisanales de transport fluvial , - des coopératives maritimes et de leurs unions;Impôt sur les sociétés;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Écologie, développement et mobilité durables;205;Affaires maritimes, pêche et aquaculture;Sans objet;Sans objet;Sans objet;168;167;191
300102;Exonération des organismes d'HLM et des offices publics d'aménagement et de construction (OPAC);Impôt sur les sociétés;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;750;800;400
300106;Exonération des sociétés immobilières pour le commerce et l'industrie et des sociétés agréées pour le financement des télécommunications;Impôt sur les sociétés;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
300109;Exonération des syndicats professionnels et de leurs unions pour leurs activités portant sur l'étude et la défense des droits et des intérêts collectifs matériels ou moraux de leurs membres ou des personnes qu'ils représentent;Impôt sur les sociétés;Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
300110;Exonération des unions d'économie sociale;Impôt sur les sociétés;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;11;8;11
