Numero_de_depense_fiscale;Libelle_de_la_depense_fiscale;Impot;Mission_principale;Numero_de_programme_principal;Libelle_de_programme_principal;Mission_subsidiaire_n°1;Numero_de_programme_subsidiaire_n°1;Libelle_de_programme_subsidiaire_n°1;Mission_subsidiaire_n°2;Numero_de_programme_subsidiaire_n°2;Libelle_de_programme_subsidiaire_n°2;Montant_N-1_definitif_(millions);Montant_N_initial_(millions);Montant_N_actualise_(millions)
100201;Abattement en faveur des personnes âgées ou invalides de condition modeste;Impôt sur le revenu;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;362;387;386
100202;Abattement en faveur des contribuables ayant des enfants mariés ou chargés de famille rattachés à leur foyer fiscal;Impôt sur le revenu;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;3;3;2
110102;Demi-part supplémentaire pour les contribuables vivant seuls ayant eu à titre exclusif ou principal, en vivant seuls, la charge d'enfants pendant au moins cinq ans;Impôt sur le revenu;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;646;628;702
110103;Demi-part supplémentaire pour les contribuables (et leurs conjoints survivants) de plus de 74 ans titulaires de la carte du combattant et pour les conjoints survivants de plus de 74 ans de personnes titulaires de la carte du combattant au moment de leur décès;Impôt sur le revenu;Anciens combattants, mémoire et liens avec la Nation;169;Reconnaissance et réparation en faveur du monde combattant, mémoire et liens avec la Nation;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;488;489;481
110104;Demi-part supplémentaire pour les contribuables invalides;Impôt sur le revenu;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;495;468;520
110107;Maintien du quotient conjugal pour les contribuables veufs ayant des enfants à charge;Impôt sur le revenu;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;115;110;110
110109;Demi-part supplémentaire ou quart de part supplémentaire en cas de résidence alternée, par enfant à charge titulaire de la carte d'invalidité ou part supplémentaire par personne rattachée au foyer fiscal titulaire de la carte d'invalidité;Impôt sur le revenu;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;Sans objet;Sans objet;Sans objet;159;168;165
110110;Demi-part supplémentaire, ou quart de part supplémentaire en cas de résidence alternée des enfants à charge, accordée aux parents isolés;Impôt sur le revenu;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;795;856;912
110201;Réduction d'impôt au titre des dons;Impôt sur le revenu;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;Cohésion des territoires;177;Hébergement, parcours vers le logement et insertion des personnes vulnérables;1880;1777;1987
110202;Crédit d'impôt au titre des cotisations versées aux organisations syndicales représentatives de salariés et aux associations professionnelles nationales de militaires;Impôt sur le revenu;Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;143;142;149
110203;Crédit d'impôt pour frais de garde des enfants âgés de moins de 6 ans;Impôt sur le revenu;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;Sans objet;Sans objet;Sans objet;1614;1534;1721
110205;Réduction d'impôt au titre des primes des contrats de rente survie et des contrats d'épargne handicap;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;7;8;6
110210;Réduction d’impôt au titre des investissements locatifs et de la souscription au capital de certaines sociétés réalisés jusqu’au 31/12/2017 et au titre des travaux de réhabilitation de logements réalisés jusqu’au 31/12/2029, dans les départements d'outre-mer, à Saint-Pierre-et-Miquelon, en Nouvelle-Calédonie, en Polynésie française, dans les îles Wallis et Futuna et les Terres australes et antarctiques françaises;Impôt sur le revenu;Outre-mer;123;Conditions de vie outre-mer;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;26;26;26
110211;Réduction d'impôt pour frais de comptabilité et d'adhésion à un centre de gestion ou une association agréés;Impôt sur le revenu;Gestion des finances publiques;156;Gestion fiscale et financière de l'État et du secteur public local;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;131;126;140
110213;Réduction d'impôt au titre des frais de dépendance et d'hébergement pour les personnes dépendantes accueillies en établissement spécialisé;Impôt sur le revenu;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;261;255;275
110215;Réduction d'impôt pour frais de scolarité dans l'enseignement secondaire;Impôt sur le revenu;Enseignement scolaire;230;Vie de l'élève;Enseignement scolaire;143;Enseignement technique agricole;Sans objet;Sans objet;Sans objet;218;222;224
110216;Réduction d'impôt au titre des souscriptions en numéraire au capital initial ou aux augmentations de capital de PME [européennes];Impôt sur le revenu;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;73;75;75
110218;Réduction d'impôt au titre de la souscription de parts de fonds communs de placement dans l'innovation (FCPI);Impôt sur le revenu;Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;58;56;55
110223;Réduction d'impôt au titre de la prestation compensatoire versée en tout ou partie sous forme d'argent ou d'attributions de biens ou de droits ou sous forme de capital se substituant à des rentes;Impôt sur le revenu;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;57;55;54
110224;Réduction d'impôt sur le revenu à raison des investissements productifs réalisés dans les départements et collectivités d'outre-mer;Impôt sur le revenu;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;673;647;831
110226;Réduction d'impôt sur le revenu pour investissements et cotisations d'assurance de bois et forêts jusqu'au 31 décembre 2022;Impôt sur le revenu;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;4;-;-
110228;Réduction d'impôt au titre de la souscription de parts de fonds d'investissement de proximité (FIP);Impôt sur le revenu;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;16;15;17
110229;Réduction d'impôt au titre des intérêts d'emprunts souscrits par une personne physique en vue de financer la reprise d'une entreprise exploitée sous forme de société soumise à l'impôt sur les sociétés;Impôt sur le revenu;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
110236;Crédit d'impôt pour dépenses d'équipements de l'habitation principale en faveur de l'aide aux personnes;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;52;54;53
110239;Réduction d'impôt sur le revenu à raison des intérêts perçus au titre du différé de paiement accordé à des exploitants agricoles;Impôt sur le revenu;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;-;-
110240;Crédit d'impôt au titre des dépenses engagées par les exploitants agricoles pour assurer leur remplacement;Impôt sur le revenu;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;22;21;26
110241;Réduction d'impôt au titre des cotisations versées aux associations syndicales autorisées ayant pour objet la réalisation de travaux de prévention en vue de la défense des forêts contre les incendies sur des terrains inclus dans les bois classés;Impôt sur le revenu;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
110242;Réduction d'impôt pour frais de scolarité dans l'enseignement supérieur;Impôt sur le revenu;Recherche et enseignement supérieur;231;Vie étudiante;Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles;Sans objet;Sans objet;Sans objet;212;216;218
110244;Réduction d’impôt au titre des souscriptions en numéraire, réalisées entre le 1er janvier 2006 et le 31 décembre 2026, au capital de sociétés anonymes agréées ayant pour seule activité le financement d’œuvres cinématographiques ou audiovisuelles (SOFICA);Impôt sur le revenu;Médias, livre et industries culturelles;334;Livre et industries culturelles;Culture;131;Création;Sans objet;Sans objet;Sans objet;35;35;35
110245;Réduction d'impôt au titre de la souscription de parts de fonds d'investissement de proximité (FIP) investis dans les entreprises corses;Impôt sur le revenu;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;6;6;5
110246;Crédit d'impôt au titre de l'emploi d'un salarié à domicile;Impôt sur le revenu;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;6110;6170;6724
110248;Réduction d'impôt sur le revenu au titre des travaux de conservation ou de restauration d'objets mobiliers classés monuments historiques;Impôt sur le revenu;Culture;175;Patrimoines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;1;1
110249;Réduction d’impôt sur le revenu au titre des dépenses de restauration d’immeubles bâtis situés dans les sites patrimoniaux remarquables (SPR), les quartiers anciens dégradés, et les quartiers du Nouveau programme national de renouvellement urbain (NPNRU) : Nouveau dispositif Malraux;Impôt sur le revenu;Culture;175;Patrimoines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;41;41;40
110250;Réduction d'impôt sur le revenu au titre des investissements locatifs réalisés dans le secteur de la location meublée non professionnelle (dispositif Censi-Bouvard);Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;46;40;40
110251;Réduction d'impôt sur le revenu en faveur de l'investissement locatif du 1er janvier 2009 au 31 décembre 2012 et, sous conditions, jusqu'au 31 mars 2013 dans les zones présentant un déséquilibre entre l'offre et la demande de logements (sous conditions de loyer) : Dispositif SCELLIER;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;77;130;65
